No.,Player Name,Position,Player_ID,Year,Country_Name,Nationality,Age,Height,Total Points,Average by Match,Attack Points,Efficiency,Attack Avg Points,Block Points,Block Success,Block Avg Points,Serve Points,Serve Success,Serve Avg Points
9.0,Stysiak Magdalena,O,152217,2021,Poland,Poland,21.0,203,283,18.87,245,44.46%,16.33,22,28.95%,1.47,16,8.70%,1.07
10.0,Efimienko-Mlotkowska Zuzanna,MB,119138,2021,Poland,Poland,32.0,197,80,6.15,52,50.98%,4.00,20,18.18%,1.54,8,6.15%,0.62
11.0,Lukasik Martyna,OH,163098,2021,Poland,Poland,22.0,189,133,8.87,100,36.10%,6.67,17,27.87%,1.13,16,9.04%,1.07
13.0,Jagla Monika,L,164106,2021,Poland,Poland,22.0,177,0,0.00,0,-,-,0,-,-,0,-,-
17.0,Smarzek Malwina,O,143463,2021,Poland,Poland,25.0,191,160,13.33,140,38.25%,11.67,17,22.97%,1.42,3,3.23%,0.25
19.0,Fedusio Monika,OH,152231,2021,Poland,Poland,22.0,183,6,0.43,6,27.27%,0.43,0,0.00%,0.00,0,0.00%,0.00
20.0,Czyrnianska Martyna,OH,181268,2021,Poland,Poland,18.0,191,35,2.50,29,37.18%,2.07,6,27.27%,0.43,0,0.00%,0.00
21.0,Druzkowska Karolina,OH,181267,2021,Poland,Poland,20.0,194,0,0.00,0,-,-,0,-,-,0,-,-
23.0,Krajewska Marta,S,181273,2021,Poland,Poland,23.0,176,-,-,-,-,-,-,-,-,-,-,-
26.0,Wenerska Katarzyna,S,181263,2021,Poland,Poland,29.0,180,9,1.50,5,45.45%,0.83,1,5.88%,0.17,3,3.33%,0.50
27.0,Łazowska Martyna,S,173996,2021,Poland,Poland,19.0,176,4,0.44,3,60.00%,0.33,1,14.29%,0.11,0,0.00%,0.00
30.0,Rozanski Olivia,OH,151231,2021,Poland,Poland,24.0,185,17,1.31,14,35.90%,1.08,3,37.50%,0.23,0,0.00%,0.00
78.0,Gryka Aleksandra,MB,163097,2021,Poland,Poland,22.0,190,7,0.70,5,50.00%,0.50,1,9.09%,0.10,1,11.11%,0.10
88.0,Gorecka Zuzanna,OH,152223,2021,Poland,Poland,21.0,181,107,7.64,87,38.84%,6.21,13,29.55%,0.93,7,6.25%,0.50
,Jacek NAWROCKI,COACH,N/A,2021,Poland,,,,,,,,,,,,,,
2.0,Malygina Daria,O,142377,2021,Russia,Russia,27.0,202,8,1.33,4,30.77%,0.67,3,23.08%,0.50,1,5.56%,0.17
4.0,Pilipenko Daria,L,119361,2021,Russia,Russia,31.0,177,0,0.00,0,-,-,0,-,-,0,-,-
5.0,Fedorovtseva Arina,OH,175202,2021,Russia,Russia,18.0,190,190,12.67,159,46.09%,10.60,14,29.79%,0.93,17,9.19%,1.13
6.0,Koroleva Irina,MB,168181,2021,Russia,Russia,30.0,196,121,8.07,72,54.55%,4.80,38,20.99%,2.53,11,7.59%,0.73
8.0,Goncharova Nataliya,O,132071,2021,Russia,Russia,32.0,194,185,13.21,162,44.14%,11.57,19,25.00%,1.36,4,3.08%,0.29
9.0,Gorbunova Valeriia,O,173154,2021,Russia,Russia,19.0,190,0,0.00,0,0.00%,0.00,0,-,-,0,0.00%,0.00
10.0,Matveeva Polina,S,164015,2021,Russia,Russia,19.0,194,10,0.91,5,50.00%,0.45,4,21.05%,0.36,1,2.50%,0.09
11.0,Brovkina Yulia,MB,163842,2021,Russia,Russia,20.0,196,25,1.67,16,48.48%,1.07,7,21.88%,0.47,2,4.55%,0.13
12.0,Lazareva Anna,O,153448,2021,Russia,Russia,25.0,190,23,3.83,21,37.50%,3.50,2,15.38%,0.33,0,0.00%,0.00
13.0,Startseva Evgeniya,S,119097,2021,Russia,Russia,33.0,185,23,1.77,15,55.56%,1.15,5,10.20%,0.38,3,2.88%,0.23
14.0,Fetisova Irina,MB,142339,2021,Russia,Russia,27.0,190,62,4.43,32,47.76%,2.29,26,21.67%,1.86,4,2.60%,0.29
15.0,Kosheleva Tatyana,OH,119677,2021,Russia,Russia,33.0,191,69,6.27,52,38.52%,4.73,12,26.67%,1.09,5,8.06%,0.45
16.0,Voronkova Irina,OH,142329,2021,Russia,Russia,26.0,190,152,10.13,132,40.62%,8.80,8,12.70%,0.53,12,8.16%,0.80
19.0,Podkopaeva Anna,L,173153,2021,Russia,Russia,31.0,175,0,0.00,0,-,-,0,-,-,0,-,-
20.0,Lazareva Ekaterina,S,180970,2021,Russia,Russia,26.0,182,4,0.50,2,28.57%,0.25,0,0.00%,0.00,2,7.69%,0.25
24.0,Pipunyrova Ekaterina,OH,164025,2021,Russia,Russia,22.0,188,2,0.20,0,0.00%,0.00,0,0.00%,0.00,2,15.38%,0.20
25.0,Smirnova Kseniia,OH,151625,2021,Russia,Russia,23.0,187,63,4.50,55,36.91%,3.93,2,11.76%,0.14,6,7.14%,0.43
,Sergio BUSATO,COACH,N/A,2021,Russia,,,,,,,,,,,,,,
2.0,Lazovic Katarina,OH,152168,2021,Serbia,Serbia,22.0,182,143,14.30,122,37.20%,12.20,9,16.67%,0.90,12,8.05%,1.20
3.0,Caric Sara,O,163120,2021,Serbia,Serbia,21.0,193,135,15.00,113,35.53%,12.56,20,31.25%,2.22,2,2.04%,0.22
6.0,Uzelac Aleksandra,OH,181204,2021,Serbia,Serbia,17.0,188,36,2.40,32,32.65%,2.13,3,25.00%,0.20,1,2.17%,0.07
7.0,Jaksic Ana,S,152169,2021,Serbia,Serbia,24.0,178,28,1.87,14,45.16%,0.93,9,19.15%,0.60,5,3.68%,0.33
21.0,Kocic Jovana,MB,152167,2021,Serbia,Serbia,24.0,191,104,6.93,57,47.11%,3.80,43,25.90%,2.87,4,2.41%,0.27
22.0,Lozo Sara,O,142479,2021,Serbia,Serbia,24.0,186,134,8.93,110,32.84%,7.33,10,22.73%,0.67,14,10.61%,0.93
23.0,Djordjevic Mila,S,163056,2021,Serbia,Serbia,23.0,181,18,1.20,9,45.00%,0.60,8,21.62%,0.53,1,1.79%,0.07
24.0,Medic Sofija,MB,138480,2021,Serbia,Serbia,31.0,184,52,3.47,25,33.78%,1.67,19,21.84%,1.27,8,8.51%,0.53
25.0,Markovic Bozica,MB,153452,2021,Serbia,Serbia,24.0,185,28,2.33,22,41.51%,1.83,3,6.25%,0.25,3,5.77%,0.25
26.0,Savic Vanja,O,173974,2021,Serbia,Serbia,19.0,188,57,4.38,48,28.92%,3.69,4,13.79%,0.31,5,8.33%,0.38
27.0,Bukilic Vanja,O,152176,2021,Serbia,Serbia,22.0,191,5,0.56,5,20.83%,0.56,0,0.00%,0.00,0,0.00%,0.00
28.0,Delic Jelena,MB,163967,2021,Serbia,Serbia,21.0,193,9,0.60,0,0.00%,0.00,7,38.89%,0.47,2,7.14%,0.13
31.0,Djurdjevic Sanja,L,163117,2021,Serbia,Serbia,24.0,177,0,0.00,0,-,-,0,-,-,0,-,-
32.0,Gocanin Bojana,L,173178,2021,Serbia,Serbia,19.0,179,0,0.00,0,-,-,0,-,-,0,-,-
33.0,Cvetkovic Jovana,OH,173979,2021,Serbia,Serbia,20.0,186,2,0.22,2,10.53%,0.22,0,0.00%,0.00,0,0.00%,0.00
34.0,Mirosavljevic Jovana,OH,163119,2021,Serbia,Serbia,22.0,183,91,6.07,76,32.62%,5.07,10,27.78%,0.67,5,5.56%,0.33
,Aleksandar VLADISAVLJEV,COACH,N/A,2021,Serbia,,,,,,,,,,,,,,
2.0,Pannoy Piyanut,L,131866,2021,Thailand,Thailand,32.0,170,0,0.00,0,-,-,0,-,-,0,-,-
3.0,ManaKij Sirima,S,181410,2021,Thailand,Thailand,31.0,168,1,0.09,1,50.00%,0.09,0,0.00%,0.00,0,0.00%,0.00
5.0,Thinkaow Pleumjit,MB,113352,2021,Thailand,Thailand,38.0,180,163,10.87,132,37.93%,8.80,19,17.27%,1.27,12,8.00%,0.80
6.0,Sittirak Onuma,OH,114638,2021,Thailand,Thailand,35.0,175,173,11.53,167,33.13%,11.13,1,2.08%,0.07,5,3.07%,0.33
8.0,Sang-Ob Tirawan,MB,152186,2021,Thailand,Thailand,23.0,176,0,0.00,0,0.00%,0.00,0,-,-,0,-,-
9.0,Chuewulim Sutadta,OH,122866,2021,Thailand,Thailand,29.0,173,88,5.87,86,32.95%,5.73,0,0.00%,0.00,2,1.59%,0.13
10.0,Apinyapong Wilavan,L,113916,2021,Thailand,Thailand,37.0,173,9,0.60,8,17.78%,0.53,1,10.00%,0.07,0,0.00%,0.00
11.0,Hyapha Amporn,MB,113358,2021,Thailand,Thailand,36.0,180,17,1.31,11,28.95%,0.85,1,7.14%,0.08,5,12.20%,0.38
12.0,Chaisri Tapaphaipun,L,118998,2021,Thailand,Thailand,32.0,168,5,0.36,4,17.39%,0.29,0,0.00%,0.00,1,9.09%,0.07
13.0,Tomkom Nootsara,S,113917,2021,Thailand,Thailand,36.0,169,19,1.27,10,23.26%,0.67,3,7.50%,0.20,6,4.38%,0.40
14.0,Juangjan Pattiya,OH,152206,2021,Thailand,Thailand,24.0,172,8,0.57,8,21.05%,0.57,0,0.00%,0.00,0,0.00%,0.00
15.0,Kanthong Malika,O,114283,2021,Thailand,Thailand,35.0,178,110,7.33,100,32.05%,6.67,5,6.41%,0.33,5,3.14%,0.33
17.0,Piampongsan Gullapa,S,167829,2021,Thailand,Thailand,31.0,176,0,0.00,0,0.00%,0.00,0,0.00%,0.00,0,0.00%,0.00
19.0,Krause Karina,MB,119003,2021,Thailand,Thailand,33.0,177,72,4.80,67,50.76%,4.47,4,9.76%,0.27,1,0.93%,0.07
20.0,Phomla Soraya,S,147188,2021,Thailand,Thailand,29.0,169,1,0.33,1,20.00%,0.33,0,0.00%,0.00,0,0.00%,0.00
22.0,Nilapa Chatsuda,OH,152207,2021,Thailand,Thailand,23.0,173,7,0.50,5,11.11%,0.36,0,0.00%,0.00,2,8.33%,0.14
24.0,Nuanjam Watchareeya,MB,142178,2021,Thailand,Thailand,25.0,178,9,0.60,7,20.59%,0.47,1,10.00%,0.07,1,5.00%,0.07
,Kittikun Sri-Utthawong,COACH,N/A,2021,Thailand,,,,,,,,,,,,,,
2.0,Akoz Simge Sebnem,L,158840,2021,Turkey,Turkey,30.0,168,0,0.00,0,-,-,0,-,-,0,-,-
3.0,Özbay Cansu,S,143590,2021,Turkey,Turkey,25.0,179,40,2.35,20,46.51%,1.18,10,15.62%,0.59,10,5.78%,0.59
4.0,Ivegin Tugba,OH,152311,2021,Turkey,Turkey,24.0,182,86,5.06,69,38.76%,4.06,11,22.00%,0.65,6,5.88%,0.35
5.0,Ercan Seyma,OH,137074,2021,Turkey,Turkey,27.0,187,9,0.56,7,25.00%,0.44,0,0.00%,0.00,2,4.65%,0.12
6.0,Akman Kubra,MB,137086,2021,Turkey,Turkey,27.0,200,46,2.88,28,43.75%,1.75,14,16.09%,0.88,4,4.04%,0.25
7.0,Baladin Hande,OH,143585,2021,Turkey,Turkey,24.0,187,163,9.59,140,41.18%,8.24,13,24.07%,0.76,10,5.92%,0.59
9.0,Diken Meliha,O,148070,2021,Turkey,Turkey,28.0,182,80,4.71,61,30.65%,3.59,12,24.00%,0.71,7,4.35%,0.41
12.0,Unal Buse,S,153618,2021,Turkey,Turkey,24.0,184,2,0.25,1,33.33%,0.12,1,20.00%,0.12,0,0.00%,0.00
13.0,Boz Meryem,O,151195,2021,Turkey,Turkey,34.0,190,89,5.24,82,35.65%,4.82,4,11.11%,0.24,3,4.35%,0.18
14.0,Erdem Dündar Eda,MB,138782,2021,Turkey,Turkey,34.0,188,208,12.24,143,53.56%,8.41,46,23.35%,2.71,19,10.38%,1.12
16.0,Sahin Saliha,OH,152312,2021,Turkey,Turkey,23.0,183,0,-,0,-,-,0,-,-,0,-,-
18.0,Gunes Zehra,MB,152263,2021,Turkey,Turkey,22.0,198,59,8.43,43,58.11%,6.14,12,18.18%,1.71,4,6.15%,0.57
19.0,Kalac Asli,MB,137087,2021,Turkey,Turkey,26.0,185,27,1.93,21,50.00%,1.50,4,9.76%,0.29,2,3.45%,0.14
20.0,Cebecioglu Derya,OH,163094,2021,Turkey,Turkey,21.0,181,0,-,0,-,-,0,-,-,0,-,-
22.0,Aydin İlkin,OH,163089,2021,Turkey,Turkey,22.0,179,19,3.80,19,55.88%,3.80,0,0.00%,0.00,0,0.00%,0.00
99.0,Karakurt Ebrar,O,163982,2021,Turkey,Turkey,22.0,195,289,17.00,250,43.63%,14.71,21,21.65%,1.24,18,9.28%,1.06
,Giovanni GUIDETTI,COACH,N/A,2021,Turkey,,,,,,,,,,,,,,
1.0,Hancock Micha,S,132835,2021,USA,USA,29.0,180,29,1.93,9,42.86%,0.60,6,19.35%,0.40,14,13.21%,0.93
2.0,Poulter Jordyn,S,143517,2021,USA,USA,24.0,188,26,2.00,8,33.33%,0.62,10,18.18%,0.77,8,5.88%,0.62
3.0,Plummer Kathryn,OH,146722,2021,USA,USA,23.0,198,27,5.40,22,41.51%,4.40,3,42.86%,0.60,2,9.09%,0.40
4.0,Wong-Orantes Justine,L,135564,2021,USA,USA,26.0,168,0,0.00,0,-,-,0,-,-,0,-,-
6.0,Dixon Tetori,MB,145702,2021,USA,USA,29.0,191,24,1.85,17,38.64%,1.31,5,21.74%,0.38,2,4.65%,0.15
7.0,Carlini Lauren,S,132500,2021,USA,USA,27.0,185,9,1.50,3,60.00%,0.50,3,50.00%,0.50,3,11.11%,0.50
8.0,Tapp Hannah,MB,160909,2021,USA,USA,26.0,191,22,1.83,15,55.56%,1.25,6,37.50%,0.50,1,2.50%,0.08
10.0,Larson Jordan,OH,114051,2021,USA,USA,35.0,188,113,6.65,101,40.56%,5.94,4,10.81%,0.24,8,5.71%,0.47
11.0,Drews Andrea,O,155307,2021,USA,USA,28.0,191,148,8.71,133,48.01%,7.82,6,10.17%,0.35,9,8.04%,0.53
12.0,Thompson Jordan,O,172978,2021,USA,USA,24.0,193,143,8.41,118,43.87%,6.94,19,25.68%,1.12,6,6.32%,0.35
13.0,Wilhite Sarah,OH,162942,2021,USA,USA,26.0,185,36,3.27,29,43.94%,2.64,5,62.50%,0.45,2,6.67%,0.18
14.0,Bartsch-Hackley Michelle,OH,119550,2021,USA,USA,32.0,190,138,9.86,113,42.32%,8.07,15,25.00%,1.07,10,7.09%,0.71
15.0,Hill Kimberly,OH,142658,2021,USA,USA,32.0,193,33,2.20,26,31.71%,1.73,7,36.84%,0.47,0,0.00%,0.00
16.0,Akinradewo Foluke,MB,115495,2021,USA,USA,34.0,191,79,5.64,64,54.24%,4.57,14,14.89%,1.00,1,1.08%,0.07
17.0,Courtney Megan,OH,155415,2021,USA,USA,28.0,185,0,0.00,0,-,-,0,-,-,0,-,-
22.0,Washington Haleigh,MB,140052,2021,USA,USA,26.0,190,109,6.81,77,60.16%,4.81,19,15.83%,1.19,13,10.00%,0.81
23.0,Robinson Kelsey,OH,141933,2021,USA,USA,29.0,188,101,7.77,81,37.67%,6.23,9,24.32%,0.69,11,10.58%,0.85
24.0,Ogbogu Chiaka,MB,166638,2021,USA,USA,26.0,188,48,4.36,30,57.69%,2.73,15,19.74%,1.36,3,5.08%,0.27
,Karch Kiraly,COACH,N/A,2021,USA,,,,,,,,,,,,,,
2.0,Van Sas Elise,S,160209,2022,Belgium,Belgium,25.0,188,0,0.00,0,0.00%,0.00,0,0.00%,0.00,0,0.00%,0.00
3.0,Herbots Britt,OH,152042,2022,Belgium,Belgium,23.0,182,306,25.50,282,36.86%,23.50,15,21.74%,1.25,9,4.97%,0.75
4.0,Lemmens Nathalie,MB,135880,2022,Belgium,Belgium,28.0,192,63,5.25,43,47.78%,3.58,17,14.91%,1.42,3,2.52%,0.25
5.0,Guilliams Jodie,OH,156326,2022,Belgium,Belgium,25.0,180,53,6.62,47,29.19%,5.88,2,6.67%,0.25,4,4.08%,0.50
6.0,Gilson Helena,OH,181274,2022,Belgium,Belgium,23.0,184,-,-,-,-,-,-,-,-,-,-,-
7.0,Van Gestel Celine,OH,151117,2022,Belgium,Belgium,25.0,183,74,6.17,63,28.64%,5.25,6,13.04%,0.50,5,4.81%,0.42
8.0,Grobelna Kaja,O,146631,2022,Belgium,Belgium,28.0,188,-,-,-,-,-,-,-,-,-,-,-
9.0,Demeyer Nel,OH,181275,2022,Belgium,Belgium,22.0,175,0,0.00,0,-,-,0,-,-,0,-,-
10.0,Martin Pauline,O,177099,2022,Belgium,Belgium,20.0,189,49,4.08,43,43.00%,3.58,3,18.75%,0.25,3,7.32%,0.25
11.0,Goris Stien,OH,166072,2022,Belgium,Belgium,21.0,185,5,0.62,5,41.67%,0.62,0,0.00%,0.00,0,0.00%,0.00
12.0,Krenicky Charlotte,S,160479,2022,Belgium,Belgium,22.0,189,10,0.83,7,63.64%,0.58,2,10.53%,0.17,1,3.03%,0.08
13.0,Janssens Marlies,MB,156325,2022,Belgium,Belgium,25.0,193,103,8.58,63,40.91%,5.25,32,32.99%,2.67,8,6.96%,0.67
14.0,Meynckens Laura,O,189124,2022,Belgium,Belgium,20.0,180,-,-,-,-,-,-,-,-,-,-,-
15.0,Van De Vyver Jutta,S,160208,2022,Belgium,Belgium,26.0,173,16,1.33,7,35.00%,0.58,2,6.90%,0.17,7,4.67%,0.58
16.0,Flament Laure,OH,152046,2022,Belgium,Belgium,24.0,182,-,-,-,-,-,-,-,-,-,-,-
18.0,Rampelberg Britt,L,168160,2022,Belgium,Belgium,22.0,165,0,0.00,0,-,-,0,0.00%,0.00,0,-,-
19.0,Van Avermaet Silke,MB,152040,2022,Belgium,Belgium,23.0,192,90,9.00,71,38.80%,7.10,12,14.63%,1.20,7,6.31%,0.70
20.0,Lambrix Marie,L,170706,2022,Belgium,Belgium,20.0,173,-,-,-,-,-,-,-,-,-,-,-
21.0,Stragier Manon,OH,152057,2022,Belgium,Belgium,24.0,182,22,2.20,11,35.48%,1.10,3,23.08%,0.30,8,12.90%,0.80
22.0,Koulberg Anna,MB,170698,2022,Belgium,Belgium,18.0,188,6,0.50,6,50.00%,0.50,0,0.00%,0.00,0,0.00%,0.00
24.0,De Donder Sara,S,152088,2022,Belgium,Belgium,23.0,176,-,-,-,-,-,-,-,-,-,-,-
27.0,Wouters Yana,MB,186026,2022,Belgium,Belgium,16.0,193,-,-,-,-,-,-,-,-,-,-,-
28.0,Nagels Lara,S,168161,2022,Belgium,Belgium,25.0,180,-,-,-,-,-,-,-,-,-,-,-
29.0,Versteynen Lena,O,181681,2022,Belgium,Belgium,19.0,186,-,-,-,-,-,-,-,-,-,-,-
30.0,Ruysschaert Britt,OH,123728,2022,Belgium,Belgium,28.0,177,-,-,-,-,-,-,-,-,-,-,-
,Gert Vande Broek,COACH,N/A,2022,Belgium,,,,,,,,,,,,,,
1.0,Silva Milka Marcília Medeiros,MB,140418,2022,Brazil,Brazil,28.0,190,-,-,-,-,-,-,-,-,-,-,-
2.0,Duarte Alecrim Diana,MB,152119,2022,Brazil,Brazil,24.0,194,43,5.38,22,46.81%,2.75,16,34.78%,2.00,5,7.81%,0.62
3.0,Gambatto Kudiess Julia,MB,173848,2022,Brazil,Brazil,20.0,192,51,4.64,35,55.56%,3.18,14,22.22%,1.27,2,2.99%,0.18
4.0,Da Silva Ana Carolina,MB,144866,2022,Brazil,Brazil,31.0,183,168,11.20,92,55.09%,6.13,63,28.90%,4.20,13,6.16%,0.87
5.0,Zalewski Daroit Priscila,OH,115970,2022,Brazil,Brazil,34.0,184,97,6.47,80,38.28%,5.33,13,25.49%,0.87,4,3.51%,0.27
6.0,Alexandre Costa Nunes Nyeme Victoria,L,152135,2022,Brazil,Brazil,24.0,175,0,0.00,0,-,-,0,-,-,0,-,-
7.0,Montibeller Rosamaria,OH,136897,2022,Brazil,Brazil,28.0,185,4,0.36,3,21.43%,0.27,0,0.00%,0.00,1,3.23%,0.09
8.0,Silva Carneiro Macris Fernanda,S,151187,2022,Brazil,Brazil,34.0,178,19,1.27,9,34.62%,0.60,8,14.04%,0.53,2,1.11%,0.13
9.0,Ratzke Roberta Silva,S,119575,2022,Brazil,Brazil,32.0,185,1,0.07,0,0.00%,0.00,0,0.00%,0.00,1,2.04%,0.07
10.0,Braga Guimaraes Gabriela,OH,136896,2022,Brazil,Brazil,28.0,180,158,14.36,148,42.90%,13.45,6,10.53%,0.55,4,2.35%,0.36
11.0,Barbosa De Souza Karina,OH,152128,2022,Brazil,Brazil,24.0,182,3,0.75,2,66.67%,0.50,0,-,-,1,4.17%,0.25
12.0,Menezes Oliveira de Souza Ana Cristina,OH,173849,2022,Brazil,Brazil,18.0,192,23,2.09,22,37.93%,2.00,0,0.00%,0.00,1,5.26%,0.09
13.0,Clemente Kasiely,OH,144843,2022,Brazil,Brazil,29.0,182,-,-,-,-,-,-,-,-,-,-,-
14.0,Araujo Natália,L,164674,2022,Brazil,Brazil,25.0,162,0,0.00,0,-,-,0,-,-,0,-,-
15.0,Viezel Lorena Giovana,MB,152130,2022,Brazil,Brazil,23.0,190,15,1.00,9,39.13%,0.60,4,18.18%,0.27,2,9.52%,0.13
16.0,Nascimento Kisy,O,171260,2022,Brazil,Brazil,23.0,191,190,12.67,156,41.82%,10.40,29,34.12%,1.93,5,4.27%,0.33
17.0,Bergmann Julia Isabelle,OH,162999,2022,Brazil,Brazil,22.0,191,139,9.27,121,40.47%,8.07,11,24.44%,0.73,7,5.34%,0.47
18.0,Araujo De Souza Mayany Cristina,MB,164673,2022,Brazil,Brazil,26.0,185,4,0.50,2,28.57%,0.25,2,18.18%,0.25,0,0.00%,0.00
19.0,Lemes Santos Tainara,O,163000,2022,Brazil,Brazil,23.0,190,-,-,-,-,-,-,-,-,-,-,-
20.0,Da Silva Lorrayna,O,152125,2022,Brazil,Brazil,23.0,185,7,1.75,7,26.92%,1.75,0,0.00%,0.00,0,0.00%,0.00
21.0,Malachias Kenya,S,152131,2022,Brazil,Brazil,22.0,185,-,-,-,-,-,-,-,-,-,-,-
22.0,Bueno da Silva Claudia,S,138832,2022,Brazil,Brazil,35.0,181,-,-,-,-,-,-,-,-,-,-,-
23.0,Honorio Marques Bruna,O,144865,2022,Brazil,Brazil,33.0,181,-,-,-,-,-,-,-,-,-,-,-
24.0,Geraldo Teixeira Lorenne,O,141658,2022,Brazil,Brazil,27.0,187,23,3.29,19,25.33%,2.71,3,27.27%,0.43,1,4.35%,0.14
25.0,Vasques Lais,L,141661,2022,Brazil,Brazil,27.0,171,-,-,-,-,-,-,-,-,-,-,-
,JOSÉ ROBERTO GUIMARAES,COACH,N/A,2022,Brazil,,,,,,,,,,,,,,
1.0,Dimitrova Gergana,OH,142341,2022,Bulgaria,Bulgaria,27.0,184,50,12.50,44,36.36%,11.00,4,22.22%,1.00,2,4.44%,0.50
2.0,Dimitrova Nasya,MB,124202,2022,Bulgaria,Bulgaria,30.0,190,109,9.08,72,50.35%,6.00,30,25.00%,2.50,7,5.69%,0.58
3.0,Neykova Polina,S,153422,2022,Bulgaria,Bulgaria,24.0,182,0,0.00,0,-,-,0,-,-,0,-,-
4.0,Yaneva Eva,OH,122460,2022,Bulgaria,Bulgaria,37.0,186,-,-,-,-,-,-,-,-,-,-,-
5.0,Yordanova Maria,OH,174474,2022,Bulgaria,Bulgaria,20.0,184,111,13.88,99,43.04%,12.38,9,25.71%,1.12,3,3.90%,0.38
6.0,Paskova-Kaneva Miroslava,OH,142347,2022,Bulgaria,Bulgaria,27.0,181,115,9.58,104,33.66%,8.67,6,9.23%,0.50,5,3.23%,0.42
7.0,Kitipova Lora,S,138283,2022,Bulgaria,Bulgaria,31.0,184,28,2.33,19,52.78%,1.58,4,7.41%,0.33,5,3.38%,0.42
8.0,Barakova Petya,S,142348,2022,Bulgaria,Bulgaria,28.0,180,1,0.08,1,25.00%,0.08,0,0.00%,0.00,0,0.00%,0.00
9.0,Saykova Borislava,MB,163261,2022,Bulgaria,Bulgaria,22.0,187,3,0.25,1,20.00%,0.08,1,9.09%,0.08,1,3.70%,0.08
10.0,Todorova Mira,MB,142337,2022,Bulgaria,Bulgaria,28.0,187,59,4.92,47,55.95%,3.92,11,15.71%,0.92,1,1.25%,0.08
11.0,Vuchkova Hristina Hristova,MB,124201,2022,Bulgaria,Bulgaria,31.0,190,29,7.25,21,52.50%,5.25,6,17.14%,1.50,2,5.26%,0.50
12.0,Usheva Dima,MB,172904,2022,Bulgaria,Bulgaria,22.0,192,-,-,-,-,-,-,-,-,-,-,-
13.0,Karabasheva Galina,L,174467,2022,Bulgaria,Bulgaria,20.0,166,-,-,-,-,-,-,-,-,-,-,-
15.0,Todorova Zhana,L,142351,2022,Bulgaria,Bulgaria,26.0,170,0,0.00,0,-,-,0,-,-,0,-,-
16.0,Atanasijevic Elitsa Vasileva,OH,122541,2022,Bulgaria,Bulgaria,32.0,190,-,-,-,-,-,-,-,-,-,-,-
17.0,Marinova Radostina,O,163141,2022,Bulgaria,Bulgaria,24.0,186,19,1.58,15,26.79%,1.25,1,16.67%,0.08,3,9.38%,0.25
18.0,Chausheva Silvana,O,142333,2022,Bulgaria,Bulgaria,27.0,188,101,8.42,90,32.97%,7.50,6,10.00%,0.50,5,4.50%,0.42
19.0,Milanova Aleksandra,OH,163142,2022,Bulgaria,Bulgaria,21.0,183,23,1.92,20,44.44%,1.67,1,16.67%,0.08,2,9.52%,0.17
20.0,Rachkovska Vangeliya,OH,151857,2022,Bulgaria,Bulgaria,25.0,185,-,-,-,-,-,-,-,-,-,-,-
21.0,Krasteva Monika,OH,163144,2022,Bulgaria,Bulgaria,23.0,183,-,-,-,-,-,-,-,-,-,-,-
24.0,Slavcheva Lora,S,164804,2022,Bulgaria,Bulgaria,21.0,178,-,-,-,-,-,-,-,-,-,-,-
26.0,Shahpazova Mirela,S,153425,2022,Bulgaria,Bulgaria,25.0,175,0,0.00,0,-,-,0,-,-,0,-,-
27.0,Dudova Iva,O,183413,2022,Bulgaria,Bulgaria,17.0,198,-,-,-,-,-,-,-,-,-,-,-
28.0,Krivoshiyska Mariya,MB,164660,2022,Bulgaria,Bulgaria,21.0,186,0,-,0,-,-,0,-,-,0,-,-
29.0,Vasileva Ralitsa,O,140907,2022,Bulgaria,Bulgaria,31.0,190,3,0.25,3,21.43%,0.25,0,0.00%,0.00,0,0.00%,0.00
,Lorenzo Micelli,COACH,N/A,2022,Bulgaria,,,,,,,,,,,,,,
1.0,Fitterer Allyssah Marie,MB,175276,2022,Canada,Canada,27.0,189,0,-,0,-,-,0,-,-,0,-,-
2.0,Langegger Melissa,OH,182883,2022,Canada,Canada,24.0,182,-,-,-,-,-,-,-,-,-,-,-
3.0,Van Ryk Kiera,OH,168355,2022,Canada,Canada,24.0,188,213,17.75,182,41.74%,15.17,11,13.75%,0.92,20,13.51%,1.67
4.0,Savard Vicky,OH,139514,2022,Canada,Canada,30.0,185,-,-,-,-,-,-,-,-,-,-,-
5.0,Murmann Julia,L,175158,2022,Canada,Canada,20.0,181,0,0.00,0,0.00%,0.00,0,-,-,0,-,-
